,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_splitter,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
21,0.16658584276835123,0.005364762585959768,0.022599220275878906,0.0005190251814374894,entropy,1,random,"{'criterion': 'entropy', 'max_depth': 1, 'splitter': 'random'}",0.22193610718534665,0.22484649595579723,0.2263764517069159,0.2243863516160199,0.0018417318801659342,39
22,0.461776336034139,0.010296360668447304,0.026090145111083984,0.001471802413778187,entropy,2,best,"{'criterion': 'entropy', 'max_depth': 2, 'splitter': 'best'}",0.24143850655935356,0.24265615892559145,0.23321130145599867,0.23910198898031454,0.004194903173542814,33
23,0.2592966556549072,0.013170119846848702,0.025466521581013996,0.000666187455153779,entropy,2,random,"{'criterion': 'entropy', 'max_depth': 2, 'splitter': 'random'}",0.24143850655935356,0.23922677078592475,0.23287993899736906,0.23784840544754912,0.0036274130297674367,35
24,0.6407928466796875,0.0025013397801797103,0.026605526606241863,0.00039691618447639806,entropy,3,best,"{'criterion': 'entropy', 'max_depth': 3, 'splitter': 'best'}",0.24979838870657373,0.2536110379188924,0.24631409168759308,0.24990783943768638,0.0029799709923111813,31
25,0.3520396550496419,0.009425355106704154,0.030686299006144207,0.004548621644215295,entropy,3,random,"{'criterion': 'entropy', 'max_depth': 3, 'splitter': 'random'}",0.2485248441005741,0.2578987711691858,0.24342764521061477,0.2499504201601249,0.005993194582378713,30
26,0.8246694405873617,0.004827174082132671,0.02845303217569987,0.0004026520338011683,entropy,4,best,"{'criterion': 'entropy', 'max_depth': 4, 'splitter': 'best'}",0.25831796296739884,0.2690971806357343,0.24759562601554608,0.2583369232062264,0.008777983154431568,27
27,0.4262411594390869,0.0081393377247826,0.02999766667683919,0.0012920600693891566,entropy,4,random,"{'criterion': 'entropy', 'max_depth': 4, 'splitter': 'random'}",0.260861059876558,0.26192301243203103,0.2505459495929831,0.25777667396719073,0.005131242022443753,28
28,1.0101229349772136,0.016089763818990042,0.03420106569925944,0.0017894151304340565,entropy,5,best,"{'criterion': 'entropy', 'max_depth': 5, 'splitter': 'best'}",0.2748940043595947,0.2761156490286727,0.26816804468203176,0.27305923269009974,0.0034943663252033313,22
29,0.5214388370513916,0.013195404017279665,0.031544764836629234,0.0004514695847867387,entropy,5,random,"{'criterion': 'entropy', 'max_depth': 5, 'splitter': 'random'}",0.27657077155244686,0.2745466740125039,0.25756843832466336,0.26956196129653803,0.008520864106042489,24
30,1.171798308690389,0.0016143039453538235,0.03463586171468099,0.00122996085495679,entropy,6,best,"{'criterion': 'entropy', 'max_depth': 6, 'splitter': 'best'}",0.2809862584936243,0.28911458707611726,0.27905509799146444,0.2830519811870687,0.004358802423121943,20
31,0.6197752952575684,0.014209980932071174,0.03400444984436035,0.0015798907841648138,entropy,6,random,"{'criterion': 'entropy', 'max_depth': 6, 'splitter': 'random'}",0.28571713735917154,0.2846192540781374,0.29548348976569083,0.2886066270676666,0.004883289011196015,18
32,1.345213810602824,0.009814150455503429,0.03515458106994629,0.0002923273004347954,entropy,7,best,"{'criterion': 'entropy', 'max_depth': 7, 'splitter': 'best'}",0.2993229054383149,0.3172203990705919,0.30058966548360955,0.30571098999750546,0.008154795855275277,14
33,0.7051953474680582,0.001775370746888815,0.036779165267944336,0.001575163438790039,entropy,7,random,"{'criterion': 'entropy', 'max_depth': 7, 'splitter': 'random'}",0.30088788815164363,0.29743055389209605,0.30252594009126443,0.30028146071166806,0.002123920244835859,15
34,1.5347029368082683,0.012887883348942347,0.03733396530151367,0.0007576353001378462,entropy,8,best,"{'criterion': 'entropy', 'max_depth': 8, 'splitter': 'best'}",0.3249375204605521,0.3478054311287837,0.3262003904487766,0.3329811140127041,0.010495046247964074,10
35,0.8022760550181071,0.021312515422130814,0.03874723116556803,0.003058252776386219,entropy,8,random,"{'criterion': 'entropy', 'max_depth': 8, 'splitter': 'random'}",0.2922804832283358,0.29517490278742586,0.37537777316443166,0.3209443863933978,0.0385083507192032,11
36,1.6801969210306804,0.019211242144113596,0.0395361582438151,0.00028291585730076164,entropy,9,best,"{'criterion': 'entropy', 'max_depth': 9, 'splitter': 'best'}",0.3585527103743982,0.3773644413570636,0.36245862959665603,0.36612526044270594,0.008105695197902397,6
37,0.8678730328877767,0.009163151980222457,0.041442314783732094,0.0020803132508735557,entropy,9,random,"{'criterion': 'entropy', 'max_depth': 9, 'splitter': 'random'}",0.3294887456982937,0.3530752708777477,0.3383530088110475,0.34030567512902965,0.009727648630657226,9
38,1.8037691116333008,0.011820578401670952,0.043721516927083336,0.0007506270203934623,entropy,10,best,"{'criterion': 'entropy', 'max_depth': 10, 'splitter': 'best'}",0.3878122978896687,0.40813311934590113,0.3937584088214276,0.39656794201899914,0.00853049641991256,2
39,0.959058920542399,0.007531453364847214,0.04524095853169759,0.0005959295900021238,entropy,10,random,"{'criterion': 'entropy', 'max_depth': 10, 'splitter': 'random'}",0.37272937775967935,0.36464895681126785,0.3829272479748963,0.37343519418194787,0.007478752774005942,5
